// FoldWatcher
// ---------------------
// Coded by Dr.K@meleon <drkameleon@hotmail.com>
// 
// homepage : http://kameleon-nest.blogspot.com
//            http://sourceforge.net/projects/foldwatcher/
// ============================
// Filename : wus_list.dat
// Last Update : 17/05/2008
//
// -----------------------------------------------------------------
// This program is free software: you can redistribute it and/or modify
// it under the terms of the GNU General Public License as published by
// the Free Software Foundation, either version 3 of the License, or
// (at your option) any later version.
//
// This program is distributed in the hope that it will be useful,
// but WITHOUT ANY WARRANTY; without even the implied warranty of
// MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
// GNU General Public License for more details.
//
// You should have received a copy of the GNU General Public License
// along with this program.  If not, see <http://www.gnu.org/licenses/>.
//
// Copyright (C) 2008 by Dr.K@meleon
// ========================================================

100||villin|0|0.00|6.00|2.00|0||Gastrointestinal tumors and Adenocarcinomas|
251|171.64.122.114|p251_gnra_dd_erf_e0.5_c18|400|5.00|10.00|18.00|100|GROMACS|General|sungjoo|
252|171.64.122.114|p252_UUUA Na+ stacked|2966|8.00|12.00|35.00|100|GROMACS|General|sungjoo|
253|171.64.122.114|p253_AAAA Na+ stacked|2963|8.00|12.00|35.00|100|GROMACS|General|sungjoo|
254|171.64.122.114|p254_p341_gnra_den|12166|15.00|22.00|74.00|100|GROMACS|General|sungjoo|
255|171.64.122.114|p255_p341_gnra_den|12166|16.00|23.00|77.00|100|GROMACS|General|sungjoo|
256|171.64.122.114|p256_p341_gnra_den|12166|16.00|23.00|76.00|100|GROMACS|General|sungjoo|
257|171.64.122.114|p257_pfold_p254_r0|12166|5.00|10.00|15.00|100|GROMACS|General|sungjoo|
258|171.64.122.114|p258_NpN|1515|19.00|27.00|92.00|100|GROMACS|General|sungjoo|
259|171.64.122.114|p259_4Na_Mg|4193|20.00|29.00|98.00|100|GROMACS|General|sungjoo|
260|171.64.122.114|p260_gnra_dd_erf_e0.5_c18|400|6.00|10.00|22.00|100|GROMACS|General|sungjoo|
261|171.67.89.154|p261_1ryp_gggg|119507|35.00|52.00|366.00|100|GROMACS|General|sungjoo|
262|171.64.122.114|p262_ch3cn|7248|30.00|43.00|152.00|100|GROMACS|General|sidnasty|
263|171.64.122.114|p263_chcl3|11626|42.00|62.00|221.00|100|GROMACS|General|sidnasty|
264|171.64.122.114|p264_ch3oh|10134|39.00|58.00|206.00|100|GROMACS|General|sidnasty|
265|171.64.122.114|p265_h2o|12153|29.00|42.00|146.00|100|GROMACS|General|sidnasty|
266|171.64.122.114|p266_ch3cn|7248|30.00|43.00|152.00|100|GROMACS|General|sidnasty|
267|171.64.122.114|p267_chcl3|11626|42.00|62.00|221.00|100|GROMACS|General|sidnasty|
268|171.64.122.114|p268_ch3oh|10134|39.00|58.00|206.00|100|GROMACS|General|sidnasty|
269|171.64.122.114|p269_h2o|12153|29.00|42.00|146.00|100|GROMACS|General|sidnasty|
270|||0|0.00|0.00|0.00|0||*Synthetic Construct||
271|||0|0.00|0.00|0.00|0||*Synthetic Construct||
272|||0|0.00|0.00|45.00|0||*Synthetic Construct||
273|171.64.122.110|p273_DPPC_H2O|34307|9.00|13.00|40.00|100|GROMACS|*Intramembrane Transport||
274||p274_DPPC_ALA|0|9.00|0.00|41.00|100||*Intramembrane Transport||
275||p275_DPPC_ARG|0|10.00|0.00|41.00|100||*Intramembrane Transport||
276||p276_DPPC_ASN|0|9.00|0.00|41.00|100||*Intramembrane Transport||
277||p277_DPPC_ASP|0|10.00|0.00|41.00|100||*Intramembrane Transport||
278||p278_DPPC_CYSH|0|9.00|0.00|41.00|100||*Intramembrane Transport||
279||p279_DPPC_GLN|0|10.00|0.00|41.00|100||*Intramembrane Transport||
280||p280_DPPC_GLU|0|10.00|0.00|41.00|100||*Intramembrane Transport||
281||p281_DPPC_GLY|0|10.00|0.00|41.00|100||*Intramembrane Transport||
282||p282_DPPC_HISB|0|10.00|0.00|42.00|100||*Intramembrane Transport||
283||p283_DPPC_ILE|0|9.00|0.00|41.00|100||*Intramembrane Transport||
284||p284_DPPC_LEU|0|10.00|0.00|41.00|100||*Intramembrane Transport||
285||p285_DPPC_LYSH|0|10.00|0.00|41.00|100||*Intramembrane Transport||
286||p286_DPPC_MET|0|10.00|0.00|41.00|100||*Intramembrane Transport||
287||p287_DPPC_PHE|0|10.00|0.00|41.00|100||*Intramembrane Transport||
288||p288_DPPC_PRO|0|10.00|0.00|42.00|100||*Intramembrane Transport||
289||p289_DPPC_SER|0|10.00|0.00|41.00|100||*Intramembrane Transport||
290||p290_DPPC_THR|0|9.00|0.00|41.00|100||*Intramembrane Transport||
291||p291_DPPC_TRP|0|9.00|0.00|41.00|100||*Intramembrane Transport||
292||p292_DPPC_TYR|0|9.00|0.00|41.00|100||*Intramembrane Transport||
293||p293_DPPC_VAL|0|9.00|0.00|41.00|100||*Intramembrane Transport||
294|171.64.122.110|p294_|12280|87.00|130.00|469.00|100|GROMACS|Huntingdons Disease|nwkelley|
295|171.64.122.110|p295_polyQ_beta-helix|12280|45.00|65.00|234.00|100|GROMACS|Huntingdons Disease|nwkelley|
296|171.64.122.123|p296_polyQ44 in water|12280|45.00|65.00|234.00|100|GROMACS|Huntingdons Disease|nwkelley|
297|171.64.122.123|p297_Q44x2 in water|12368|50.00|74.00|266.00|100|GROMACS|Huntingdons Disease|nwkelley|
298|171.64.122.123|p298_Q44 in water|12278|45.00|66.00|235.00|100|GROMACS|Huntingdons Disease|nwkelley|
299|171.64.122.123|p299_Q20x4 in water|12337|50.00|73.00|261.00|100|GROMACS|Huntingdons Disease|nwkelley|
301||GNRA hairpin|0|0.00|6.00|2.00|0||General||
302||GNRA hairpin|0|0.00|6.00|2.00|0||General||
304||GNRA hairpin|389|0.00|6.00|2.00|0||General||
305||GNRA Hairpin|389|0.00|6.00|2.00|0||General||
306||GNRA hairpin|0|0.00|6.00|2.00|0||General||
307||GNRA hairpin|389|0.00|6.00|2.00|0||General||
308||GNRA hairpin|0|0.00|6.00|2.00|0||General||
309||GNRA hairpin|0|0.00|6.00|2.00|0||General||
310||GNRA hairpin|0|0.00|6.00|2.00|0||General||
311||GNRA hairpin|0|0.00|6.00|2.00|0||General||
312||GNRA hairpin|0|0.00|1.00|0.00|0||General||
313||GNRA hairpin|0|0.00|1.00|0.00|0||General||
314||GNRA Hairpin|389|0.00|1.00|0.00|0||General||
315||GNRA_f0|389|0.00|6.00|2.00|0||General||
316||GAAA_tetraloop|391|0.00|6.00|2.00|0||General||
317||GAGA_tetraloop|392|0.00|6.00|2.00|0||General||
318||RNA_9bp_hairpin|718|0.00|12.00|4.00|0||General||
319||GNRA_pfold2|389|0.00|1.00|0.00|0||General||
320|171.64.122.111|p320_nat_273|6414|0.00|18.00|51.00|100|GROMACS|General||
321|171.64.122.111|p321_nat_289|6414|0.00|18.00|51.00|100|GROMACS|General||
322|171.64.122.111|p322_nat_305|6414|0.00|18.00|51.00|100|GROMACS|General||
323|171.64.122.111|p323_nat_321|6414|0.00|18.00|51.00|100|GROMACS|General||
324|171.64.122.111|p324_nat_337|6414|0.00|18.00|51.00|100|GROMACS|General||
325|171.64.122.111|p325_nat_353|6414|0.00|18.00|51.00|100|GROMACS|General||
326|171.64.122.111|p326_nat_369|6414|0.00|18.00|51.00|100|GROMACS|General||
327|171.64.122.110|p327_A21nat_273_op|6426|0.00|18.00|51.00|100|GROMACS|General||
328|171.64.122.110|p328_A21unf_273_op|6399|0.00|18.00|51.00|100|GROMACS|General||
329|171.64.122.110|p329_FSnat_273_op|6414|0.00|18.00|51.00|100|GROMACS|General||
330|171.64.122.110|p330_FSunf_273_op|6384|0.00|18.00|51.00|100|GROMACS|General||
332|171.64.122.111|p332_unf_273|6384|0.00|18.00|51.00|100|GROMACS|General||
333|171.64.122.111|p333_unf_289|6384|0.00|18.00|51.00|100|GROMACS|General||
334|171.64.122.111|p334_unf_305|6384|0.00|18.00|51.00|100|GROMACS|General||
335|171.64.122.111|p335_unf_321|6384|0.00|18.00|51.00|100|GROMACS|General||
336|171.64.122.111|p336_unf_337|6384|0.00|18.00|51.00|100|GROMACS|General||
337|171.64.122.111|p337_unf_353|6384|0.00|18.00|51.00|100|GROMACS|General||
338|171.64.122.111|p338_unf_369|6384|0.00|18.00|51.00|100|GROMACS|General||
340|171.64.122.110|p340_gnra_nat|12235|0.00|18.00|53.00|100|GROMACS|General||
341|171.64.122.110|p341_gnra_den|12166|0.00|18.00|53.00|100|GROMACS|General||
342|171.64.122.110|p342_gnra_pf1|12200|0.00|18.00|53.00|100|GROMACS|General||
343|171.64.122.110|p343_gnra_pf2|12200|0.00|18.00|53.00|100|GROMACS|General||
344|171.67.89.149|p344_gnra_unf_1|12160|0.00|18.00|53.00|100|GROMACS|General||
345|171.64.122.111|p345_gnra_pf2_Mg|12200|0.00|18.00|53.00|100|GROMACS|General||
346|171.64.122.111|p346_gnra_nat_Mg|12202|0.00|18.00|53.00|100|GROMACS|General||
347|171.64.122.111|p347_gnra_den_Mg|12193|0.00|18.00|53.00|100|GROMACS|General||
348|171.64.122.110|p348_tip4p_pf1_Na|16100|0.00|18.00|54.00|100|GROMACS|General||
349|171.64.122.110|p349_tip4p_pf2_Na|16100|0.00|18.00|54.00|100|GROMACS|General||
350|171.64.122.111|p350_tip4p_pf1_Mg|6414|0.00|18.00|51.00|100|GROMACS|General||
351|171.64.122.111|p351_tip4p_pf2_Mg|6384|0.00|18.00|51.00|100|GROMACS|General||
352|171.64.122.111|p352_nat_305_99|6414|0.00|18.00|51.00|100|GROMACS|General||
353|171.64.122.111|p353_unf_305_99|6384|0.00|18.00|51.00|100|GROMACS|General||
354|171.67.89.149|p354_A21nat_273_GS|6426|18.00|36.00|51.00|100|GROMACS|General||
355|171.67.89.149|p355_A21unf_273_GS|6399|18.00|36.00|51.00|100|GROMACS|General||
356|171.67.89.149|p356_A21nat_273_94|6426|18.00|36.00|51.00|100|GROMACS|General||
357|171.67.89.149|p357_A21unf_273_94|6399|18.00|36.00|51.00|100|GROMACS|General||
358|171.67.89.149|p358_A21nat_273_99|6426|18.00|36.00|51.00|100|GROMACS|General||
359|171.67.89.149|p359_A21unf_273_99|6399|18.00|36.00|51.00|100|GROMACS|General||
360|171.64.122.116|p360_gnra_pf1_Mg|12200|0.00|18.00|53.00|100|GROMACS|General||
361|171.64.122.116|p361_gnra_pf2_Mg|12200|0.00|18.00|53.00|100|GROMACS|General||
362|171.64.122.116|p362_tip4p_pf1_Mg|16100|0.00|18.00|54.00|100|GROMACS|General||
363|171.64.122.116|p363_tip4p_pf2_Mg|16100|0.00|18.00|54.00|100|GROMACS|General||
364|171.64.122.116|p364_tip5p_pf1_Mg|19500|0.00|10.00|29.00|100|GROMACS|General||
365|171.64.122.116|p365_tip5p_pf2_Mg|19500|0.00|10.00|29.00|100|GROMACS|General||
367|171.64.122.116|p367_gnra_den_Mg|12176|0.00|18.00|53.00|100|GROMACS|General||
368|171.64.122.110|p368_tip5p_pf1_Na|19500|0.00|10.00|29.00|100|GROMACS|General||
369|171.64.122.110|p369_tip5p_pf2_Na|19500|0.00|10.00|29.00|100|GROMACS|General||
372|171.64.122.110|p372_gnra_pf1_noi|12200|0.00|18.00|53.00|100|GROMACS|General||
373|171.64.122.116|p373_gnra_pf2_noi|12200|0.00|18.00|53.00|100|GROMACS|General||
374|171.67.89.149|p374_gnra_pf1_cut|12200|0.00|6.00|15.00|100|GROMACS|General||
375|171.67.89.149|p375_gnra_pf2_cut|12200|0.00|6.00|15.00|100|GROMACS|General||
376|171.67.89.149|p376_gnra_pf1_22i|12100|0.00|18.00|53.00|100|GROMACS|General||
377|171.67.89.149|p377_gnra_pf2_22i|12100|0.00|18.00|53.00|100|GROMACS|General||
378|171.67.89.149|p378_gnra_pf1_38i|12000|0.00|18.00|53.00|100|GROMACS|General||
379|171.67.89.149|p379_gnra_pf2_38i|12000|0.00|18.00|53.00|100|GROMACS|General||
380|171.67.89.149|p380_gnra_pf1_56i|11800|0.00|18.00|53.00|100|GROMACS|General||
381|171.67.89.149|p381_gnra_pf2_56i|11800|0.00|18.00|53.00|100|GROMACS|General||
382|171.67.89.149|p382_gnra_pf1_75i|11600|0.00|18.00|53.00|100|GROMACS|General||
383|171.67.89.149|p383_gnra_pf2_75i|11600|0.00|18.00|53.00|100|GROMACS|General||
384|171.67.89.149|p384_gnra_pf1_150i|11000|0.00|18.00|53.00|100|GROMACS|General||
385|171.67.89.149|p385_gnra_pf2_150i|11000|0.00|18.00|53.00|100|GROMACS|General||
386|171.67.89.149|p386_gnra_pf1_cut|12200|0.00|6.00|15.00|100|GROMACS|General||
387|171.67.89.149|p387_gnra_pf2_cut|12200|0.00|6.00|15.00|100|GROMACS|General||
388|171.64.122.110|p388_perm|1625|0.00|6.00|9.00|100|GROMACS|*RNA Folding||
389|171.64.122.110|p389_6tna_eps|1625|0.00|6.00|9.00|100|GROMACS|*RNA Folding||
391|171.64.122.110|p391_6tna_eps|1625|0.00|6.00|9.00|100|GROMACS|*RNA Folding||
392|171.64.122.110|p392_perm|1625|0.00|6.00|9.00|100|GROMACS|*RNA Folding||
393|171.64.122.110|p393_|0|0.00|6.00|9.00|100|GROMACS|*RNA Folding||
394|171.64.122.110|p394_6tna_p76|1625|0.00|6.00|9.00|100|GROMACS|*RNA Folding||
395|171.64.122.110|p395_6tna_p76|1625|0.00|6.00|9.00|200|GROMACS|*RNA Folding||
396|171.64.122.110|p396_6tna_p76|1625|0.00|6.00|9.00|200|GROMACS|*RNA Folding||
397|171.64.122.110|p397_6tna_p76|1625|0.00|3.00|4.00|100|GROMACS|*RNA Folding||
400|171.64.122.114|INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
401|171.64.122.114|INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
402||INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
403||INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
404|171.64.122.114|INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
405|171.64.122.114|INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
406||INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
407||INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
408||SideChains|0|0.00|0.00|0.00|0||General||
409||SideChains|0|0.00|0.00|0.00|0||General||
410||SideChains|0|0.00|0.00|0.00|0||General||
411||SideChains|0|0.00|0.00|0.00|0||General||
412||SideChains|0|0.00|0.00|0.00|0||General||
413|171.64.122.114|INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
414|171.64.122.114|INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
415|171.64.122.114|INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
416|171.64.122.114|INTERNAL_TEST_CH4|649|0.00|0.00|0.00|0||General||
417||SideChains|0|0.00|0.00|0.00|0||General||
